title,text,file
Hadoop : Submarine Project Spin-Off to TLP Proposal Meritocracy,"Submarine has been developed as part of Apache Hadoop and thus has been operating as a meritocracy. Many of the developers of Submarine are active Hadoop PMC members, committers or contributors. The Submarine project plans to continue adding new PMC and committers as the project continues to develop.",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Community,Submarine’s development team seeks to foster the development and user communities. We feel that becoming a separate project will improve both communities by being smaller and more focused than Hadoop and bring tighter integration with various Apache projects and other open source projects that either doesn’t want to or can’t accept the large list of dependencies from Hadoop.,../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Core Developers,"Submarine is being primarily developed by Cloudera, NetEase, LinkedIn, JD, Dahua,Ke.com, Facebook, Alibaba",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Alignment,"The ASF is a natural host for Submarine given that it is already the home of Hadoop, Spark, Hive, Arrow and other emerging distributed computing software projects. Submarine was designed to offer improved user experiences of deep-learning/machine-learning model training, serving, management which can be part of big data pipeline and leverages the power of Apache Spark, Apache Arrow, Apache Zeppelin, etc.",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Orphaned Products,"The core developers of the Submarine team are actively working on the project andplan to continue. There is very little risk of Submarine getting orphaned sincelarge companies are using Submarine to train their machine learning models. Forexample, NetEase is using Submarine to run machine learning jobs on their 250 GPU nodes cluster in production and serve their notebook for developers/data-scientists to use (https://www.infoq.cn/article/C11ef0aa1EfSb*6CE9ce).",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Inexperience with Open Source,"The potential PMC of the new project has extensive experience with Apache projects and includes 2 PMC members from Apache top level projects, and the potential initial committersof Submarine have 7 committers from 3 different Apache top level projects. Theseexperienced committers will be responsible for training the committers thatare less familiar with the Apache Way.",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Homogeneous Developers,"The developers include employees from Cloudera, NetEase, LinkedIn, JD, Dahua,Ke.com, Facebook, Alibaba. Apache projects encourage an open anddiverse meritocratic community and Submarine team is very motivated to increasethe size and diversity of the development team.",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Reliance on Salaried Developers,"Most of the work on Submarine has been by salaried developers, but the hope isthat by making Submarine a separate project, it will be more approachable for newdevelopers including non-salaried developers.",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Relationships with Other Apache Products,"Submarine has a strong relationship and integration with Apache Hadoop, Zeppelin. Being independent of Hadoop will allow other projects to depend on Submarine directly without incurring the cost of depending on the large list of Submarine dependencies. Submarine would like to encourage integration with additional Apache projects: - Apache Arrow for [cross-language development platform for in-memory data cache] - Apache Spark for [Data processing / preprocessing, Feature engineering] - Apache Zeppelin for [Interactive development of algorithms through the way of notebooks] As far as we know, there’s no similar project in Apache positioned to be an end-to-end machine learning platform.",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal An Excessive Fascination with the Apache Brand,"Submarine wants to become an Apache project in order to help efforts to diversifythe committer-base, and not to capitalize on the Apache brand. The Submarineproject is in production use already inside several large companies and isalready being released by Apache Hadoop. As such, the Submarine project is notseeking to use the Apache brand as a marketing tool.",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Documentation,"The primary documentation about Submarine is located on thehttps://hadoop.apache.org/submarine/docs/0.2.0/Index/ There have been also been presentations on Submarine: Qcon 2019, Beijing (https://qcon.infoq.cn/2019/beijing/presentation/1440) DataWorks Summit 2019 Barcelona, Spain(https://dataworkssummit.com/barcelona-2019/session/hadoop-submarine-project-running-deep-learning-workloads-on-yarn/)",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Initial Source,Submarine has been under development as part of Apache Hadoop since 2018. The original inclusion into Hadoop was via YARN-8135 (Now becomes Submarine-2).,../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal List Submarine sub-modules and explain,"CORE Run the machine learning workload on k8s or YARN, and take advantage of k8s' online service and yarn's offline calculation. Submarine Portal Server resource management, personnel role management, algorithm development, model management. Provide interactive data analysis and algorithm development capabilities in notebook mode. Submarine ML Plugin interface Submarine provides a plug-in interface to the machine learning framework, enabling easy integration of various machine learning frameworks into submarines. Submarine Toolkit / SDK Submarine provides development libraries for python, java and scala. You can use it directly in machine learning algorithms. Mlflow, memory cache, metrics in the submarine runtime environment.",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Major dependencies,Build tools - Apache Maven,../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Other Dependencies,"Apache - Log4j - Hadoop 2.7.x+ Non-Apache - JDK 1.8+ - Protobuf - TonY (BSD 2-clause,https://github.com/linkedin/TonY)",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Cryptography,Submarine does not currently support encryption.,../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Mailing Lists,private@submarine for private PMC discussions (with moderated subscriptions)dev@submarineuser@submarinecommits@submarine,../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Version Control,"Git is the preferred source control system. We need a separate Git repository after spinoff to a new Apache TLP, Hadoop community has already voted to move Submarine source code to a separate Git repo, which is tracked by:INFRA-18964-Аутентификациядля просмотра подробных данных проблемы. Existing Submarine source code will be moved to the new created repo.",../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Issue Tracking,Submarine already has a separate JIRA instance (SUBMARINE-) to track issues.,../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
Hadoop : Submarine Project Spin-Off to TLP Proposal Other Resources,The existing code already has unit tests so we will make use of existingApache continuous testing infrastructure. The resulting load should not bevery large.,../data/confluence_exports/HADOOP/Submarine-Project-Spin-Off-to-TLP-Proposal_127405318.html
